               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.035818,            0.020098,                   0,             0.58247,             0.51132,             0.43981,             0.18389,            0.054187,            0.020502,                   0,            0.006238,            0.006238,            0.006238
                  40,             0.03555,            0.020064,                   0,             0.60163,             0.48606,             0.43453,              0.1861,            0.054599,            0.019964,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.035578,            0.020043,                   0,             0.55674,              0.4741,             0.41579,             0.17763,             0.05448,            0.020418,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.035338,            0.019898,                   0,             0.57007,             0.47012,             0.42126,             0.18381,            0.054923,            0.020612,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.034573,            0.019322,                   0,              0.5365,             0.45418,             0.38958,             0.16447,            0.055723,            0.021116,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.034577,            0.019358,                   0,             0.51108,             0.51394,             0.41607,             0.17689,            0.054459,            0.020962,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.034221,            0.019697,                   0,             0.59784,             0.48606,             0.46319,             0.20292,             0.05393,            0.020629,                   0,            0.005644,            0.005644,            0.005644
                  46,             0.03412,            0.019256,                   0,             0.58885,             0.47809,             0.42643,             0.18942,            0.053277,            0.021255,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.034071,            0.019738,                   0,             0.57895,             0.49303,             0.42663,             0.18117,            0.054315,            0.021491,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.033754,            0.019228,                   0,             0.56071,             0.52191,             0.43752,             0.18443,            0.054614,            0.021071,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.033634,            0.019202,                   0,             0.58978,             0.51394,             0.45591,             0.19743,            0.052773,            0.020812,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.033131,            0.018946,                   0,             0.57218,             0.51685,             0.44851,             0.19472,            0.053113,            0.020102,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.033267,            0.019024,                   0,              0.6452,             0.44919,             0.44701,             0.18931,            0.053979,            0.021154,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.032553,            0.018876,                   0,             0.58293,             0.52988,             0.42871,             0.18327,            0.054425,            0.020427,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.032574,            0.018896,                   0,             0.55773,             0.51793,             0.42289,             0.17767,            0.053704,            0.021403,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.032256,            0.018624,                   0,             0.56866,             0.48606,              0.4402,             0.18754,             0.05403,            0.020751,                   0,            0.004753,            0.004753,            0.004753
