                  epoch,             train/loss,              test/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                      0,                 0.6443,                 0.6114,                0.83451,                      1,               0.000802
                      1,                0.53973,                0.58632,                0.83765,                      1,               0.000604
                      2,                0.50413,                0.50695,                0.89176,                      1,               0.000406
                      3,                0.47599,                  0.525,                0.87686,                      1,               0.000208
                      4,                0.43616,                0.49189,                0.89569,                      1,                  1e-05
